segment_id,test_point_id,date,pipe_to_soil_v,on_potential_v,current_ma,criteria_met,standard
SEG-01,TP-01-1,2025-06-01,-0.828,-1.214,3.33,Fail,NACE SP0169
SEG-01,TP-01-2,2025-06-01,-0.886,-1.004,4.46,Pass,NACE SP0169
SEG-01,TP-01-3,2025-06-01,-0.795,-0.94,4.7,Fail,NACE SP0169
SEG-02,TP-02-1,2025-06-01,-0.726,-0.837,2.28,Fail,NACE SP0169
SEG-02,TP-02-2,2025-06-01,-0.763,-0.913,1.55,Fail,NACE SP0169
SEG-02,TP-02-3,2025-06-01,-0.855,-1.085,2.65,Pass,NACE SP0169
SEG-03,TP-03-1,2025-06-01,-0.909,-1.057,3.8,Pass,NACE SP0169
SEG-03,TP-03-2,2025-06-01,-0.9,-1.145,3.72,Pass,NACE SP0169
SEG-03,TP-03-3,2025-06-01,-0.761,-1.133,1.28,Fail,NACE SP0169
SEG-04,TP-04-1,2025-06-01,-0.785,-1.028,4.54,Fail,NACE SP0169
SEG-04,TP-04-2,2025-06-01,-0.793,-0.943,2.82,Fail,NACE SP0169
SEG-04,TP-04-3,2025-06-01,-0.742,-1.082,4.63,Fail,NACE SP0169
SEG-05,TP-05-1,2025-06-01,-0.831,-1.003,1.52,Fail,NACE SP0169
SEG-05,TP-05-2,2025-06-01,-0.876,-1.187,2.28,Pass,NACE SP0169
SEG-05,TP-05-3,2025-06-01,-0.905,-1.102,3.04,Pass,NACE SP0169
SEG-06,TP-06-1,2025-06-01,-0.872,-1.121,0.94,Pass,NACE SP0169
SEG-06,TP-06-2,2025-06-01,-0.983,-1.214,1.92,Pass,NACE SP0169
SEG-06,TP-06-3,2025-06-01,-0.988,-1.366,3.48,Pass,NACE SP0169
SEG-07,TP-07-1,2025-06-01,-0.782,-1.084,0.55,Fail,NACE SP0169
SEG-07,TP-07-2,2025-06-01,-0.692,-0.951,1.38,Fail,NACE SP0169
SEG-07,TP-07-3,2025-06-01,-0.881,-1.098,3.63,Pass,NACE SP0169
SEG-01,TP-01-1,2025-06-02,-0.815,-1.074,1.39,Fail,NACE SP0169
SEG-01,TP-01-2,2025-06-02,-0.661,-0.867,1.14,Fail,NACE SP0169
SEG-01,TP-01-3,2025-06-02,-0.781,-0.904,4.38,Fail,NACE SP0169
SEG-02,TP-02-1,2025-06-02,-0.661,-1.028,1.6,Fail,NACE SP0169
SEG-02,TP-02-2,2025-06-02,-0.828,-0.974,0.83,Fail,NACE SP0169
SEG-02,TP-02-3,2025-06-02,-0.796,-0.999,1.65,Fail,NACE SP0169
SEG-03,TP-03-1,2025-06-02,-0.84,-1.222,3.4,Fail,NACE SP0169
SEG-03,TP-03-2,2025-06-02,-0.957,-1.081,4.3,Pass,NACE SP0169
SEG-03,TP-03-3,2025-06-02,-0.803,-1.121,2.74,Fail,NACE SP0169
SEG-04,TP-04-1,2025-06-02,-0.923,-1.191,3.4,Pass,NACE SP0169
SEG-04,TP-04-2,2025-06-02,-0.878,-1.076,2.05,Pass,NACE SP0169
SEG-04,TP-04-3,2025-06-02,-0.777,-0.896,0.65,Fail,NACE SP0169
SEG-05,TP-05-1,2025-06-02,-0.784,-0.964,3.29,Fail,NACE SP0169
SEG-05,TP-05-2,2025-06-02,-0.859,-1.146,1.46,Pass,NACE SP0169
SEG-05,TP-05-3,2025-06-02,-0.782,-1.082,2.85,Fail,NACE SP0169
SEG-06,TP-06-1,2025-06-02,-0.9,-1.233,1.05,Pass,NACE SP0169
SEG-06,TP-06-2,2025-06-02,-0.887,-0.992,2.72,Pass,NACE SP0169
SEG-06,TP-06-3,2025-06-02,-0.714,-0.946,4.07,Fail,NACE SP0169
SEG-07,TP-07-1,2025-06-02,-0.902,-1.228,2.79,Pass,NACE SP0169
SEG-07,TP-07-2,2025-06-02,-0.839,-1.216,4.4,Fail,NACE SP0169
SEG-07,TP-07-3,2025-06-02,-0.727,-1.102,2.29,Fail,NACE SP0169
SEG-01,TP-01-1,2025-06-03,-0.822,-1.006,3.84,Fail,NACE SP0169
SEG-01,TP-01-2,2025-06-03,-0.747,-0.949,3.18,Fail,NACE SP0169
SEG-01,TP-01-3,2025-06-03,-0.858,-0.983,1.08,Pass,NACE SP0169
SEG-02,TP-02-1,2025-06-03,-0.874,-1.097,2.41,Pass,NACE SP0169
SEG-02,TP-02-2,2025-06-03,-0.905,-1.01,1.05,Pass,NACE SP0169
SEG-02,TP-02-3,2025-06-03,-0.941,-1.137,1.42,Pass,NACE SP0169
SEG-03,TP-03-1,2025-06-03,-0.874,-1.273,4.24,Pass,NACE SP0169
SEG-03,TP-03-2,2025-06-03,-0.879,-1.243,1.32,Pass,NACE SP0169
SEG-03,TP-03-3,2025-06-03,-0.759,-0.945,1.3,Fail,NACE SP0169
SEG-04,TP-04-1,2025-06-03,-0.747,-0.972,1.89,Fail,NACE SP0169
SEG-04,TP-04-2,2025-06-03,-0.817,-1.107,0.85,Fail,NACE SP0169
SEG-04,TP-04-3,2025-06-03,-0.774,-1.159,1.87,Fail,NACE SP0169
SEG-05,TP-05-1,2025-06-03,-0.775,-1.101,3.77,Fail,NACE SP0169
SEG-05,TP-05-2,2025-06-03,-0.955,-1.066,3.22,Pass,NACE SP0169
SEG-05,TP-05-3,2025-06-03,-0.768,-0.907,1.81,Fail,NACE SP0169
SEG-06,TP-06-1,2025-06-03,-0.812,-1.057,4.31,Fail,NACE SP0169
SEG-06,TP-06-2,2025-06-03,-0.789,-1.138,1.64,Fail,NACE SP0169
SEG-06,TP-06-3,2025-06-03,-0.922,-1.098,1.33,Pass,NACE SP0169
SEG-07,TP-07-1,2025-06-03,-0.861,-1.114,4.11,Pass,NACE SP0169
SEG-07,TP-07-2,2025-06-03,-0.799,-0.968,2.1,Fail,NACE SP0169
SEG-07,TP-07-3,2025-06-03,-0.907,-1.138,1.15,Pass,NACE SP0169
SEG-01,TP-01-1,2025-06-04,-0.856,-0.956,3.76,Pass,NACE SP0169
SEG-01,TP-01-2,2025-06-04,-0.861,-0.986,2.4,Pass,NACE SP0169
SEG-01,TP-01-3,2025-06-04,-0.955,-1.183,0.98,Pass,NACE SP0169
SEG-02,TP-02-1,2025-06-04,-0.689,-0.815,1.59,Fail,NACE SP0169
