date,station_id,methane_pct,ethane_pct,propane_pct,co2_pct,n2_pct,h2s_ppm,heating_value_btu_scf,specific_gravity,compressibility_factor_z
2025-12-01,ST-01,95.418,2.05,0.548,0.189,1.795,2.9,101568.2,0.5634,0.9928
2025-12-01,ST-02,95.53,3.784,0.378,0.269,0.039,0.1,104321.3,0.5676,0.9897
2025-12-01,ST-03,94.156,3.011,0.324,0.18,2.329,2.6,101427.5,0.565,0.9913
2025-12-01,ST-04,95.135,2.441,0.83,0.424,1.17,0.0,102683.0,0.5663,0.9915
2025-12-01,ST-05,95.917,3.396,0.606,0.162,-0.081,3.8,104600.2,0.5678,0.99
2025-12-01,ST-06,94.51,2.185,0.387,0.439,2.479,2.4,100483.1,0.5629,0.9929
2025-12-01,ST-07,95.921,3.459,0.783,0.489,-0.652,1.5,105161.1,0.5691,0.9895
2025-12-01,ST-08,95.156,3.659,0.857,0.445,-0.117,2.3,104926.9,0.5701,0.989
2025-12-08,ST-01,95.614,2.092,0.505,0.216,1.573,0.3,101732.7,0.5633,0.9928
2025-12-08,ST-02,94.198,2.202,0.55,0.354,2.696,1.5,100607.5,0.5639,0.9925
2025-12-08,ST-03,94.611,2.419,0.54,0.475,1.955,2.6,101384.2,0.5645,0.9921
2025-12-08,ST-04,95.327,2.342,0.956,0.165,1.21,1.5,103019.2,0.5668,0.9914
2025-12-08,ST-05,96.469,3.28,0.801,0.374,-0.924,3.4,105444.3,0.5686,0.9898
2025-12-08,ST-06,95.828,2.458,0.329,0.226,1.159,1.1,102153.9,0.5633,0.9924
2025-12-08,ST-07,94.133,3.886,1.089,0.226,0.666,2.6,104876.9,0.5722,0.988
2025-12-08,ST-08,94.687,3.829,0.713,0.206,0.565,1.0,104390.7,0.5698,0.9889
2025-12-15,ST-01,95.184,2.525,0.826,0.459,1.006,1.6,102871.1,0.5665,0.9913
2025-12-15,ST-02,94.158,3.995,0.759,0.136,0.952,0.2,104264.7,0.5705,0.9885
2025-12-15,ST-03,93.829,3.255,1.013,0.269,1.634,0.3,103261.8,0.5698,0.9895
2025-12-15,ST-04,94.645,3.992,0.776,0.488,0.099,3.4,104795.0,0.5706,0.9885
2025-12-15,ST-05,93.534,3.441,0.914,0.315,1.796,1.1,103043.2,0.5698,0.9893
2025-12-15,ST-06,95.423,2.223,0.691,0.281,1.382,3.8,102239.1,0.5648,0.9922
2025-12-15,ST-07,96.128,2.527,0.751,0.171,0.423,3.7,103641.3,0.5661,0.9914
2025-12-15,ST-08,96.112,2.597,0.875,0.344,0.072,0.6,104060.9,0.567,0.9911
2025-12-22,ST-01,95.788,3.079,1.001,0.312,-0.18,0.0,104902.7,0.5692,0.9898
2025-12-22,ST-02,94.472,2.039,1.136,0.451,1.902,3.3,102070.8,0.5669,0.9917
2025-12-22,ST-03,94.423,2.116,1.09,0.479,1.892,0.3,102041.7,0.5669,0.9916
2025-12-22,ST-04,94.958,2.138,0.985,0.406,1.513,0.5,102357.9,0.5663,0.9918
2025-12-22,ST-05,94.926,3.1,0.539,0.449,0.986,1.7,102905.1,0.5665,0.9907
2025-12-22,ST-06,94.135,3.079,0.957,0.18,1.649,1.2,103119.2,0.569,0.9899
2025-12-22,ST-07,96.485,3.3,0.694,0.307,-0.786,0.5,105226.6,0.5681,0.99
2025-12-22,ST-08,94.174,2.676,0.829,0.192,2.129,0.9,102123.7,0.567,0.991
2025-12-29,ST-01,93.713,3.262,0.506,0.462,2.057,3.4,101881.1,0.5668,0.9905
2025-12-29,ST-02,93.713,2.476,0.902,0.186,2.723,0.5,101487.0,0.5668,0.9912
2025-12-29,ST-03,96.307,3.142,0.725,0.414,-0.588,3.2,104845.0,0.5678,0.9903
2025-12-29,ST-04,94.071,2.194,0.688,0.269,2.778,1.9,100812.0,0.5647,0.9922
2025-12-29,ST-05,95.687,3.347,1.186,0.139,-0.359,1.6,105740.1,0.5712,0.9889
2025-12-29,ST-06,94.518,3.723,0.524,0.176,1.059,1.8,103556.6,0.5683,0.9895
2025-12-29,ST-07,94.766,2.557,0.525,0.469,1.683,1.8,101747.4,0.5648,0.9918
2025-12-29,ST-08,96.084,3.101,0.346,0.5,-0.031,3.3,103593.2,0.5654,0.9911
2026-01-05,ST-01,96.407,3.853,1.064,0.167,-1.491,1.9,107056.9,0.5719,0.9882
2026-01-05,ST-02,94.141,2.802,0.353,0.252,2.452,3.9,101115.6,0.5645,0.9917
2026-01-05,ST-03,94.296,3.568,0.71,0.269,1.157,3.8,103525.7,0.569,0.9894
2026-01-05,ST-04,96.486,3.112,0.947,0.162,-0.707,1.2,105531.6,0.569,0.9899
2026-01-05,ST-05,96.406,3.158,0.788,0.399,-0.751,0.2,105132.0,0.5682,0.9901
2026-01-05,ST-06,95.253,3.006,1.067,0.163,0.511,3.8,104398.2,0.5694,0.9899
2026-01-05,ST-07,93.74,2.372,0.836,0.37,2.682,0.9,101164.3,0.5661,0.9916
2026-01-05,ST-08,93.86,3.781,0.522,0.338,1.499,2.5,102988.3,0.5685,0.9894
2026-01-12,ST-01,94.758,3.167,0.771,0.474,0.83,0.8,103437.4,0.5681,0.9901
2026-01-12,ST-02,95.649,2.477,0.656,0.369,0.849,1.2,102829.1,0.5654,0.9917
2026-01-12,ST-03,94.449,3.504,0.365,0.283,1.399,4.0,102699.3,0.5667,0.9903
2026-01-12,ST-04,96.488,2.147,0.492,0.206,0.667,3.7,102681.8,0.5634,0.9927
2026-01-12,ST-05,96.143,3.759,0.633,0.163,-0.698,3.3,105539.0,0.5691,0.9892
2026-01-12,ST-06,95.611,3.223,1.189,0.362,-0.385,0.0,105451.3,0.5708,0.9892
2026-01-12,ST-07,95.951,2.599,0.897,0.476,0.077,0.5,103956.9,0.5672,0.991
2026-01-12,ST-08,93.846,2.214,0.798,0.209,2.933,2.4,100896.5,0.5654,0.992
2026-01-19,ST-01,95.653,2.407,0.871,0.206,0.863,2.0,103250.3,0.5664,0.9914
2026-01-19,ST-02,96.216,3.692,0.383,0.269,-0.56,1.1,104865.4,0.5674,0.9899
2026-01-19,ST-03,93.511,3.542,0.873,0.205,1.869,3.0,103095.4,0.5699,0.9892
2026-01-19,ST-04,95.155,2.855,0.309,0.13,1.551,3.5,102124.8,0.5644,0.9917
2026-01-19,ST-05,96.212,3.091,1.051,0.333,-0.687,0.6,105478.8,0.5696,0.9897
2026-01-19,ST-06,93.882,2.617,1.109,0.418,1.974,3.4,102428.3,0.5685,0.9905
2026-01-19,ST-07,96.197,2.42,0.525,0.141,0.717,3.1,102953.2,0.5644,0.9921
2026-01-19,ST-08,96.152,2.813,0.859,0.162,0.014,3.7,104443.3,0.5676,0.9907
2026-01-26,ST-01,96.094,3.952,1.03,0.453,-1.529,0.1,106829.7,0.572,0.988
2026-01-26,ST-02,95.71,2.664,1.138,0.421,0.067,3.5,104434.3,0.5688,0.9904
2026-01-26,ST-03,95.932,2.534,1.009,0.143,0.382,3.5,104104.5,0.5677,0.9909
2026-01-26,ST-04,96.076,2.445,1.035,0.284,0.16,1.2,104158.2,0.5675,0.991
2026-01-26,ST-05,95.886,2.455,0.321,0.177,1.161,1.3,102187.2,0.5633,0.9924
2026-01-26,ST-06,96.093,3.934,0.551,0.357,-0.935,1.6,105591.7,0.5691,0.989
2026-01-26,ST-07,96.443,3.072,1.145,0.146,-0.806,3.9,105915.5,0.5701,0.9896
2026-01-26,ST-08,94.036,3.925,0.539,0.143,1.357,1.7,103463.9,0.569,0.9891
2026-02-02,ST-01,95.686,2.627,0.846,0.305,0.536,1.5,103609.9,0.567,0.9911
2026-02-02,ST-02,95.23,2.509,0.938,0.101,1.222,3.7,103171.2,0.5672,0.9911
2026-02-02,ST-03,95.115,3.439,0.968,0.368,0.11,1.5,104775.5,0.5701,0.9892
2026-02-02,ST-04,93.71,3.328,0.597,0.226,2.139,3.4,102223.8,0.5676,0.9901
2026-02-02,ST-05,95.659,2.601,0.578,0.263,0.899,1.6,102862.3,0.5653,0.9916
2026-02-02,ST-06,94.387,2.255,0.678,0.476,2.204,2.7,101214.6,0.5648,0.9921
2026-02-02,ST-07,96.208,3.231,0.571,0.319,-0.329,0.0,104514.8,0.5671,0.9904
2026-02-02,ST-08,94.361,2.86,0.822,0.362,1.595,1.9,102620.8,0.5675,0.9906
2026-02-09,ST-01,94.826,2.427,0.726,0.46,1.561,3.2,102083.9,0.5656,0.9917
2026-02-09,ST-02,94.009,2.17,0.764,0.353,2.704,1.3,100898.1,0.5651,0.9921
2026-02-09,ST-03,95.955,3.502,0.906,0.19,-0.553,0.8,105581.0,0.5699,0.9892
2026-02-09,ST-04,93.573,2.49,0.728,0.44,2.769,0.3,100932.3,0.5658,0.9916
2026-02-09,ST-05,94.743,3.26,0.475,0.379,1.143,2.0,102842.0,0.5666,0.9905
2026-02-09,ST-06,94.232,3.312,0.305,0.4,1.751,3.1,101989.1,0.5658,0.9908
2026-02-09,ST-07,93.82,2.85,0.458,0.483,2.389,2.1,101139.8,0.5653,0.9914
2026-02-09,ST-08,93.651,2.498,1.064,0.283,2.504,3.2,101870.8,0.5679,0.9909
2026-02-16,ST-01,95.503,3.976,0.836,0.48,-0.795,3.6,105786.0,0.5709,0.9884
2026-02-16,ST-02,95.338,3.439,0.754,0.432,0.037,2.2,104462.7,0.5688,0.9896
2026-02-16,ST-03,96.192,3.487,0.727,0.204,-0.61,1.0,105343.9,0.5688,0.9896
2026-02-16,ST-04,95.413,3.532,0.769,0.351,-0.065,1.1,104740.9,0.5692,0.9894
2026-02-16,ST-05,93.732,2.571,0.545,0.228,2.924,2.2,100776.1,0.565,0.9918
2026-02-16,ST-06,93.915,2.463,0.925,0.383,2.314,0.3,101726.3,0.5669,0.9912
2026-02-16,ST-07,94.723,3.085,0.674,0.183,1.335,1.7,103012.8,0.5673,0.9905
2026-02-16,ST-08,96.215,3.168,0.926,0.443,-0.752,3.1,105303.6,0.5691,0.9898
2026-02-23,ST-01,94.641,2.012,0.617,0.401,2.329,3.4,100888.3,0.5637,0.9927
2026-02-23,ST-02,96.36,2.838,0.973,0.318,-0.489,2.4,104984.8,0.5684,0.9904
2026-02-23,ST-03,94.162,2.439,0.692,0.112,2.595,1.3,101347.6,0.5655,0.9917
2026-02-23,ST-04,95.537,2.809,0.449,0.287,0.918,0.5,102782.2,0.5651,0.9915
2026-02-23,ST-05,95.367,2.054,0.655,0.326,1.598,0.1,101792.9,0.5641,0.9926
2026-02-23,ST-06,95.428,2.271,0.716,0.12,1.465,1.5,102392.0,0.5651,0.992
2026-02-23,ST-07,94.135,2.654,0.985,0.252,1.974,3.0,102437.8,0.5679,0.9907
2026-02-23,ST-08,95.996,2.505,0.374,0.108,1.017,2.2,102520.3,0.5638,0.9922
