valve_id,segment_id,date,position_pct,state,response_time_sec,leak_test_result
V-01-1,01,2025-12-01,97.3,Open,2.5,Pass
V-01-2,01,2025-12-01,3.1,Closed,0.7,Pass
V-01-3,01,2025-12-01,95.8,Open,4.6,Pass
V-02-1,02,2025-12-01,99.5,Open,0.9,Pass
V-02-2,02,2025-12-01,96.2,Open,3.2,Pass
V-02-3,02,2025-12-01,98.7,Open,4.7,Pass
V-03-1,03,2025-12-01,97.2,Open,1.1,Pass
V-03-2,03,2025-12-01,98.7,Open,4.2,Pass
V-03-3,03,2025-12-01,97.8,Open,3.3,Pass
V-04-1,04,2025-12-01,97.6,Open,2.7,Pass
V-04-2,04,2025-12-01,95.4,Open,3.3,Pass
V-04-3,04,2025-12-01,96.3,Open,4.3,Pass
V-05-1,05,2025-12-01,99.2,Open,0.6,Pass
V-05-2,05,2025-12-01,95.5,Open,1.4,Pass
V-05-3,05,2025-12-01,6.0,Closed,1.3,Pass
V-06-1,06,2025-12-01,97.6,Open,1.1,Pass
V-06-2,06,2025-12-01,95.3,Open,3.7,Pass
V-06-3,06,2025-12-01,95.6,Open,2.5,Pass
V-07-1,07,2025-12-01,96.0,Open,1.9,Pass
V-07-2,07,2025-12-01,99.7,Open,3.7,Pass
V-07-3,07,2025-12-01,95.1,Open,3.6,Pass
V-01-1,01,2025-12-02,95.4,Open,1.7,Pass
V-01-2,01,2025-12-02,97.1,Open,2.0,Pass
V-01-3,01,2025-12-02,98.1,Open,4.8,Pass
V-02-1,02,2025-12-02,96.0,Open,1.8,Pass
V-02-2,02,2025-12-02,96.2,Open,3.7,Pass
V-02-3,02,2025-12-02,96.2,Open,1.6,Pass
V-03-1,03,2025-12-02,95.4,Open,2.7,Pass
V-03-2,03,2025-12-02,95.4,Open,4.0,Pass
V-03-3,03,2025-12-02,1.0,Closed,2.9,Pass
V-04-1,04,2025-12-02,95.3,Open,4.4,Pass
V-04-2,04,2025-12-02,97.8,Open,0.8,Pass
V-04-3,04,2025-12-02,95.7,Open,1.6,Pass
V-05-1,05,2025-12-02,98.1,Open,3.9,Pass
V-05-2,05,2025-12-02,98.5,Open,2.1,Pass
V-05-3,05,2025-12-02,97.4,Open,1.6,Pass
V-06-1,06,2025-12-02,97.7,Open,2.2,Pass
V-06-2,06,2025-12-02,22.5,Closed,3.4,Pass
V-06-3,06,2025-12-02,95.2,Open,5.0,Pass
V-07-1,07,2025-12-02,97.1,Open,3.6,Pass
V-07-2,07,2025-12-02,95.2,Open,4.3,Pass
V-07-3,07,2025-12-02,25.1,Closed,1.7,Pass
V-01-1,01,2025-12-03,95.9,Open,3.2,Pass
V-01-2,01,2025-12-03,98.9,Open,2.3,Pass
V-01-3,01,2025-12-03,96.0,Open,2.1,Pass
V-02-1,02,2025-12-03,98.7,Open,3.9,Pass
V-02-2,02,2025-12-03,99.6,Open,4.6,Pass
V-02-3,02,2025-12-03,98.7,Open,3.5,Pass
V-03-1,03,2025-12-03,96.0,Open,3.4,Pass
V-03-2,03,2025-12-03,98.7,Open,4.3,Pass
V-03-3,03,2025-12-03,96.7,Open,2.4,Pass
V-04-1,04,2025-12-03,99.8,Open,0.9,Pass
V-04-2,04,2025-12-03,95.7,Open,4.0,Pass
V-04-3,04,2025-12-03,98.2,Open,1.5,Pass
V-05-1,05,2025-12-03,99.3,Open,3.1,Pass
V-05-2,05,2025-12-03,96.3,Open,4.6,Fail
V-05-3,05,2025-12-03,10.7,Closed,3.1,Pass
V-06-1,06,2025-12-03,96.4,Open,3.5,Pass
V-06-2,06,2025-12-03,95.7,Open,2.4,Pass
V-06-3,06,2025-12-03,97.6,Open,2.5,Pass
V-07-1,07,2025-12-03,96.3,Open,2.2,Pass
V-07-2,07,2025-12-03,99.3,Open,4.1,Pass
V-07-3,07,2025-12-03,96.0,Open,4.9,Pass
V-01-1,01,2025-12-04,99.8,Open,2.1,Pass
V-01-2,01,2025-12-04,98.0,Open,4.6,Pass
V-01-3,01,2025-12-04,97.0,Open,0.6,Pass
V-02-1,02,2025-12-04,99.1,Open,1.7,Pass
V-02-2,02,2025-12-04,97.5,Open,1.8,Pass
V-02-3,02,2025-12-04,97.6,Open,1.7,Pass
V-03-1,03,2025-12-04,97.7,Open,2.2,Pass
V-03-2,03,2025-12-04,95.7,Open,0.7,Pass
V-03-3,03,2025-12-04,96.4,Open,0.6,Pass
V-04-1,04,2025-12-04,99.5,Open,2.9,Pass
V-04-2,04,2025-12-04,97.2,Open,4.0,Pass
V-04-3,04,2025-12-04,96.6,Open,2.5,Pass
V-05-1,05,2025-12-04,96.5,Open,2.9,Pass
V-05-2,05,2025-12-04,99.0,Open,4.0,Pass
V-05-3,05,2025-12-04,98.9,Open,1.9,Fail
V-06-1,06,2025-12-04,95.0,Open,2.2,Pass
V-06-2,06,2025-12-04,96.3,Open,3.3,Pass
V-06-3,06,2025-12-04,97.7,Open,0.9,Pass
V-07-1,07,2025-12-04,97.3,Open,3.1,Pass
V-07-2,07,2025-12-04,98.8,Open,4.5,Pass
V-07-3,07,2025-12-04,98.5,Open,4.5,Pass
V-01-1,01,2025-12-05,96.9,Open,3.5,Pass
V-01-2,01,2025-12-05,97.8,Open,3.0,Pass
V-01-3,01,2025-12-05,95.5,Open,2.0,Pass
V-02-1,02,2025-12-05,99.3,Open,4.8,Pass
V-02-2,02,2025-12-05,98.9,Open,4.6,Pass
V-02-3,02,2025-12-05,95.3,Open,1.0,Pass
V-03-1,03,2025-12-05,3.3,Closed,2.9,Pass
V-03-2,03,2025-12-05,98.7,Open,2.1,Pass
V-03-3,03,2025-12-05,98.9,Open,1.7,Pass
V-04-1,04,2025-12-05,95.5,Open,4.0,Pass
V-04-2,04,2025-12-05,99.9,Open,4.8,Pass
V-04-3,04,2025-12-05,96.1,Open,2.7,Pass
V-05-1,05,2025-12-05,19.5,Closed,0.6,Pass
V-05-2,05,2025-12-05,95.5,Open,2.0,Pass
V-05-3,05,2025-12-05,98.1,Open,3.0,Pass
V-06-1,06,2025-12-05,98.4,Open,2.4,Pass
V-06-2,06,2025-12-05,100.0,Open,2.0,Pass
V-06-3,06,2025-12-05,98.5,Open,2.2,Pass
V-07-1,07,2025-12-05,95.4,Open,1.7,Pass
V-07-2,07,2025-12-05,99.1,Open,1.1,Fail
V-07-3,07,2025-12-05,95.3,Open,1.0,Pass
V-01-1,01,2025-12-06,96.5,Open,1.7,Pass
V-01-2,01,2025-12-06,98.1,Open,5.0,Pass
V-01-3,01,2025-12-06,97.8,Open,2.9,Pass
V-02-1,02,2025-12-06,96.2,Open,2.7,Pass
V-02-2,02,2025-12-06,97.4,Open,4.4,Pass
V-02-3,02,2025-12-06,97.5,Open,0.7,Pass
V-03-1,03,2025-12-06,96.4,Open,3.3,Pass
V-03-2,03,2025-12-06,21.2,Closed,0.7,Pass
V-03-3,03,2025-12-06,97.3,Open,3.5,Pass
V-04-1,04,2025-12-06,99.5,Open,1.5,Pass
V-04-2,04,2025-12-06,99.3,Open,4.4,Pass
V-04-3,04,2025-12-06,96.5,Open,1.9,Pass
V-05-1,05,2025-12-06,99.6,Open,4.5,Pass
V-05-2,05,2025-12-06,99.3,Open,0.9,Pass
V-05-3,05,2025-12-06,96.8,Open,1.8,Pass
V-06-1,06,2025-12-06,95.1,Open,3.9,Pass
V-06-2,06,2025-12-06,99.1,Open,4.8,Pass
V-06-3,06,2025-12-06,98.0,Open,4.4,Pass
V-07-1,07,2025-12-06,99.5,Open,4.0,Pass
V-07-2,07,2025-12-06,99.1,Open,3.9,Pass
V-07-3,07,2025-12-06,95.2,Open,3.9,Pass
V-01-1,01,2025-12-07,97.2,Open,2.7,Pass
V-01-2,01,2025-12-07,98.2,Open,3.3,Pass
V-01-3,01,2025-12-07,97.6,Open,4.1,Fail
V-02-1,02,2025-12-07,95.1,Open,2.0,Pass
V-02-2,02,2025-12-07,98.6,Open,2.3,Pass
V-02-3,02,2025-12-07,98.4,Open,4.6,Pass
V-03-1,03,2025-12-07,96.2,Open,1.2,Pass
V-03-2,03,2025-12-07,99.1,Open,4.9,Pass
V-03-3,03,2025-12-07,98.8,Open,2.2,Pass
V-04-1,04,2025-12-07,96.6,Open,5.0,Pass
V-04-2,04,2025-12-07,95.9,Open,1.8,Pass
V-04-3,04,2025-12-07,95.6,Open,0.7,Pass
V-05-1,05,2025-12-07,97.2,Open,4.4,Pass
V-05-2,05,2025-12-07,97.9,Open,2.8,Pass
V-05-3,05,2025-12-07,97.3,Open,5.0,Pass
V-06-1,06,2025-12-07,97.2,Open,3.3,Pass
V-06-2,06,2025-12-07,96.8,Open,3.9,Pass
V-06-3,06,2025-12-07,96.7,Open,3.0,Pass
V-07-1,07,2025-12-07,96.4,Open,1.2,Pass
V-07-2,07,2025-12-07,97.8,Open,2.2,Pass
V-07-3,07,2025-12-07,98.2,Open,0.8,Pass
V-01-1,01,2025-12-08,99.9,Open,1.4,Pass
V-01-2,01,2025-12-08,95.6,Open,4.2,Pass
V-01-3,01,2025-12-08,97.7,Open,1.7,Pass
V-02-1,02,2025-12-08,96.5,Open,0.7,Pass
V-02-2,02,2025-12-08,97.3,Open,2.5,Pass
V-02-3,02,2025-12-08,96.1,Open,3.8,Pass
V-03-1,03,2025-12-08,95.0,Open,3.2,Pass
V-03-2,03,2025-12-08,97.8,Open,2.7,Pass
V-03-3,03,2025-12-08,96.6,Open,3.2,Pass
V-04-1,04,2025-12-08,97.0,Open,3.3,Pass
V-04-2,04,2025-12-08,95.5,Open,2.3,Pass
V-04-3,04,2025-12-08,99.9,Open,1.3,Pass
V-05-1,05,2025-12-08,100.0,Open,2.1,Pass
V-05-2,05,2025-12-08,99.1,Open,2.5,Pass
V-05-3,05,2025-12-08,95.4,Open,4.7,Pass
V-06-1,06,2025-12-08,96.4,Open,4.1,Pass
V-06-2,06,2025-12-08,96.8,Open,3.8,Fail
V-06-3,06,2025-12-08,95.6,Open,1.8,Pass
V-07-1,07,2025-12-08,99.1,Open,2.3,Pass
V-07-2,07,2025-12-08,96.5,Open,1.8,Pass
V-07-3,07,2025-12-08,97.7,Open,2.7,Pass
V-01-1,01,2025-12-09,95.1,Open,3.0,Pass
V-01-2,01,2025-12-09,99.5,Open,4.3,Pass
V-01-3,01,2025-12-09,98.1,Open,4.7,Pass
V-02-1,02,2025-12-09,99.1,Open,4.2,Pass
V-02-2,02,2025-12-09,95.8,Open,1.2,Fail
V-02-3,02,2025-12-09,98.8,Open,3.4,Pass
V-03-1,03,2025-12-09,98.3,Open,0.5,Pass
V-03-2,03,2025-12-09,98.5,Open,4.4,Pass
V-03-3,03,2025-12-09,97.5,Open,1.7,Pass
V-04-1,04,2025-12-09,98.0,Open,3.8,Pass
V-04-2,04,2025-12-09,98.6,Open,3.7,Pass
V-04-3,04,2025-12-09,95.9,Open,2.9,Pass
V-05-1,05,2025-12-09,99.6,Open,2.7,Pass
V-05-2,05,2025-12-09,99.0,Open,3.2,Pass
V-05-3,05,2025-12-09,12.1,Closed,2.8,Pass
V-06-1,06,2025-12-09,98.6,Open,1.6,Pass
V-06-2,06,2025-12-09,99.9,Open,3.2,Pass
V-06-3,06,2025-12-09,98.8,Open,4.8,Pass
V-07-1,07,2025-12-09,95.5,Open,4.0,Pass
V-07-2,07,2025-12-09,96.0,Open,1.1,Pass
V-07-3,07,2025-12-09,99.7,Open,3.7,Pass
V-01-1,01,2025-12-10,98.9,Open,1.8,Pass
V-01-2,01,2025-12-10,97.8,Open,1.7,Pass
V-01-3,01,2025-12-10,95.1,Open,4.9,Pass
V-02-1,02,2025-12-10,99.3,Open,1.1,Pass
V-02-2,02,2025-12-10,99.8,Open,3.8,Pass
V-02-3,02,2025-12-10,98.2,Open,4.0,Pass
V-03-1,03,2025-12-10,99.5,Open,4.9,Pass
V-03-2,03,2025-12-10,100.0,Open,1.0,Pass
V-03-3,03,2025-12-10,99.4,Open,4.3,Pass
V-04-1,04,2025-12-10,98.4,Open,2.3,Pass
V-04-2,04,2025-12-10,98.6,Open,0.7,Pass
V-04-3,04,2025-12-10,98.9,Open,0.9,Pass
V-05-1,05,2025-12-10,99.9,Open,3.1,Pass
V-05-2,05,2025-12-10,96.4,Open,3.5,Pass
V-05-3,05,2025-12-10,98.0,Open,4.5,Pass
V-06-1,06,2025-12-10,99.6,Open,3.5,Pass
V-06-2,06,2025-12-10,98.2,Open,0.9,Pass
V-06-3,06,2025-12-10,96.9,Open,3.9,Pass
V-07-1,07,2025-12-10,99.1,Open,4.1,Pass
V-07-2,07,2025-12-10,96.8,Open,1.4,Pass
V-07-3,07,2025-12-10,98.9,Open,1.2,Pass
V-01-1,01,2025-12-11,98.8,Open,2.0,Pass
V-01-2,01,2025-12-11,99.1,Open,2.2,Pass
V-01-3,01,2025-12-11,98.6,Open,2.5,Pass
V-02-1,02,2025-12-11,97.1,Open,4.0,Pass
V-02-2,02,2025-12-11,95.2,Open,2.5,Pass
V-02-3,02,2025-12-11,99.1,Open,0.6,Pass
V-03-1,03,2025-12-11,95.3,Open,0.9,Pass
V-03-2,03,2025-12-11,95.2,Open,4.6,Fail
V-03-3,03,2025-12-11,98.7,Open,0.7,Pass
V-04-1,04,2025-12-11,96.4,Open,2.2,Pass
V-04-2,04,2025-12-11,99.9,Open,1.4,Pass
V-04-3,04,2025-12-11,99.3,Open,3.1,Pass
V-05-1,05,2025-12-11,95.7,Open,3.9,Pass
V-05-2,05,2025-12-11,3.6,Closed,1.7,Pass
V-05-3,05,2025-12-11,95.2,Open,3.5,Pass
V-06-1,06,2025-12-11,97.3,Open,2.1,Pass
V-06-2,06,2025-12-11,99.3,Open,1.9,Pass
V-06-3,06,2025-12-11,95.1,Open,2.4,Pass
V-07-1,07,2025-12-11,96.3,Open,1.6,Pass
V-07-2,07,2025-12-11,98.8,Open,3.0,Pass
V-07-3,07,2025-12-11,99.1,Open,2.9,Pass
V-01-1,01,2025-12-12,97.9,Open,1.1,Pass
V-01-2,01,2025-12-12,97.5,Open,4.3,Pass
V-01-3,01,2025-12-12,95.8,Open,3.9,Pass
V-02-1,02,2025-12-12,3.9,Closed,1.6,Pass
V-02-2,02,2025-12-12,95.4,Open,3.8,Pass
V-02-3,02,2025-12-12,99.8,Open,4.3,Pass
V-03-1,03,2025-12-12,97.3,Open,2.2,Fail
V-03-2,03,2025-12-12,96.9,Open,4.7,Pass
V-03-3,03,2025-12-12,96.9,Open,2.9,Pass
V-04-1,04,2025-12-12,97.8,Open,4.6,Pass
V-04-2,04,2025-12-12,98.0,Open,5.0,Pass
V-04-3,04,2025-12-12,98.2,Open,3.0,Pass
V-05-1,05,2025-12-12,95.2,Open,3.8,Pass
V-05-2,05,2025-12-12,96.0,Open,2.7,Pass
V-05-3,05,2025-12-12,99.6,Open,4.2,Pass
V-06-1,06,2025-12-12,96.2,Open,0.5,Pass
V-06-2,06,2025-12-12,98.3,Open,3.1,Pass
V-06-3,06,2025-12-12,97.4,Open,4.2,Pass
V-07-1,07,2025-12-12,98.8,Open,1.6,Pass
V-07-2,07,2025-12-12,20.0,Closed,4.9,Pass
V-07-3,07,2025-12-12,99.0,Open,1.0,Pass
V-01-1,01,2025-12-13,98.9,Open,1.7,Pass
V-01-2,01,2025-12-13,95.4,Open,2.3,Pass
V-01-3,01,2025-12-13,98.2,Open,2.9,Pass
V-02-1,02,2025-12-13,95.9,Open,2.4,Pass
V-02-2,02,2025-12-13,99.8,Open,4.9,Pass
V-02-3,02,2025-12-13,99.2,Open,2.3,Pass
V-03-1,03,2025-12-13,97.3,Open,0.8,Pass
V-03-2,03,2025-12-13,97.4,Open,3.7,Pass
V-03-3,03,2025-12-13,96.1,Open,3.4,Pass
V-04-1,04,2025-12-13,96.6,Open,2.7,Pass
V-04-2,04,2025-12-13,97.6,Open,2.0,Pass
V-04-3,04,2025-12-13,98.2,Open,2.1,Pass
V-05-1,05,2025-12-13,98.8,Open,4.8,Pass
V-05-2,05,2025-12-13,98.4,Open,1.7,Pass
V-05-3,05,2025-12-13,99.1,Open,3.1,Pass
V-06-1,06,2025-12-13,98.7,Open,3.7,Fail
V-06-2,06,2025-12-13,95.3,Open,4.9,Pass
V-06-3,06,2025-12-13,95.6,Open,2.6,Pass
V-07-1,07,2025-12-13,15.6,Closed,0.7,Pass
V-07-2,07,2025-12-13,95.8,Open,0.8,Pass
V-07-3,07,2025-12-13,97.3,Open,2.0,Pass
V-01-1,01,2025-12-14,96.4,Open,1.0,Pass
V-01-2,01,2025-12-14,96.9,Open,1.7,Pass
